skew_confidence,distance_closest_building,road_area,car_area,car_area_quantile,road_area_quantile,abs_slope_diff_huber,skew_confidence_quantile,distance_closest_building_quantile
95,10.614322575922866,266045.5,56594,D5,D9,0.1503711434346634,D10,D6
14,14.500707988997425,229787,11684,D2,D7,0.7662040213857693,D4,D10
5,11.933423284004212,173823,97600.5,D7,D4,2.2184485113662697,D2,D8
74,9.449336982416106,213419,92154,D6,D6,0.9653819690630268,D9,D4
59,10.015901834469448,241566,82894,D6,D8,2.3150653983834943,D8,D6
83,9.361961875580407,211029.5,155549.5,D9,D6,0.4324193548145616,D9,D4
25,18.39324400468752,31854,516,D1,D1,1.2422096782018932,D5,D10
16,11.475455431980588,218837.5,130274,D8,D6,0.014509939968774366,D4,D8
18,8.228407584586206,140092,2777,D2,D2,1.060806050662757,D4,D2
1,28.872044660772524,318330,14687,D2,D10,0.48798677009355396,D1,D10
77,8.843952634644781,188597,147808.5,D9,D4,0.9712623702000669,D9,D3
45,11.626435080500176,223220.5,86087,D6,D7,0.10079800076911649,D8,D8
1,20.239719940520448,285699,649,D1,D10,1.0751418998834792,D1,D10
58,9.016625414892044,112450.5,252305.5,D10,D2,0.032503808819903446,D8,D4
99,9.068914866953616,236644,81842,D6,D7,0.5210602980488874,D10,D4
49,8.165938717662325,131572.5,165729.5,D10,D2,0.21978315387596226,D8,D2
4,12.409677336589516,106749,71815,D5,D2,0.3063433805162726,D1,D9
107,6.969323288385777,222760,0,D1,D6,0.6071662481985641,D10,D1
16,14.326912808987146,235392.5,13595.5,D2,D7,0.23021819326095494,D4,D10
14,12.36230891134858,252023,112558.5,D8,D8,0.4259924640970244,D4,D9
4,9.164037608731809,186423,76273,D6,D4,0.10230929669802222,D1,D4
14,12.56595066,152980,90817,D6,D3,0.5961291203733987,D4,D9
126,12.323944404727264,258736,3934,D2,D8,0.3325011012204934,D10,D9
21,11.595485728305157,358397,18917,D3,D10,0.9940367646061532,D5,D8
18,10.537415738822892,190707,117860.5,D8,D5,0.1424535344246663,D4,D6
27,14.65118728781103,86727,182339,D10,D1,0.3724478138909523,D6,D10
70,9.600569762770927,225162.5,14406,D2,D7,0.49066966886047525,D9,D5
86,13.41559351382604,399498.5,14091.5,D2,D10,0.14287631224031233,D9,D10
120,11.117901050402692,190585.5,184126,D10,D5,0.8857819446010767,D10,D7
21,12.302502882648325,291948,54612,D5,D10,0.8778378199611504,D5,D9
3,14.251351443156995,343923,25237,D3,D10,0.8249969476816631,D1,D10
47,9.371029593208217,152650,150857,D9,D3,0.020250149,D8,D4
133,10.342673491530237,220046,27631.5,D3,D6,0.2715454017854696,D10,D6
26,14.854732582730158,25146,0,D1,D1,0.19740281077825378,D5,D10
45,8.157305245020462,247544.5,65996,D5,D8,0.47088922577021863,D8,D2
33,12.135889432413746,201262.5,136015.5,D9,D5,2.0772326351173778,D6,D9
19,9.589234552261049,126911,0,D1,D2,0.039122592,D4,D5
176,8.910120691045748,236459,33524.5,D3,D7,1.140200803912783,D10,D3
1,26.94050343698876,321588,18332,D3,D10,0.9759796405526726,D1,D10
64,8.732611373222335,176749,25121.5,D3,D4,1.6115523164217078,D9,D3
23,12.331560279521682,241964,60733.5,D5,D8,0.038428107628961206,D5,D9
14,9.310755865081816,242386,0,D1,D8,0.2901754168512757,D4,D4
26,10.67100321006576,228008.5,5895,D2,D7,0.6968975348742463,D5,D7
5,11.525004595384932,305685.5,53537.5,D5,D10,0.02167186,D2,D8
32,12.219710676648385,275991,58072.5,D5,D9,0.10148188571800365,D6,D9
72,12.231757070007989,283940.5,46.5,D1,D9,0.40209181515927045,D9,D9
