length,GT,post_huber,slope_30m,GT_relief,post_huber_relief,slope_30m_relief
78.879,1.803419269,0.146180086,0.839699796,2.483584399,0.201246307,1.156096021
85.363,0.341801043,1.054342999,0.606556806,0.509243592,1.571006495,0.903721765
195.695,0.506878659,1.552842433,1.759945047,1.731300417,5.30506659,6.01302243
52.223,0.117682641,2.034491846,0.209186741,0.107263559,1.8551444,0.190666884
60.625,1.396972181,2.498983047,7.527201849,1.478437424,2.64586657,8.010715803
273.64,1.713121292,1.597236016,4.421276369,8.184167458,7.630246443,21.15766925
104.039,0.442945449,0.412452834,0.312070796,0.804326603,0.748954321,0.566670964
66.14,0.565714346,0.398705847,0.292445215,0.653059668,0.460257816,0.337590214
94.477,0.450533588,0.58640594,0.547722736,0.742915786,0.966978877,0.903186548
147.981,0.967705977,2.134509208,1.642663454,2.499585793,5.515467613,4.243761167
74.863,0.484906354,1.369539527,0.4364024,0.6335966,1.789789221,0.57021695
73.167,0.315817463,0.399449982,0.112583229,0.403304581,0.51010791,0.143769538
94.259,1.944831398,1.280663538,1.607106788,3.200729644,2.107208812,2.644593022
211.551,0.384323423,0.966253254,0.373003245,1.419043855,3.567997934,1.377244971
94.287,1.182954196,0.361319404,1.930603206,1.946968074,0.594601812,3.178239456
74.065,0.483991627,2.375750074,0.551394922,0.625660263,3.072841383,0.712798152
146.393,0.169974874,0.229673532,0.179039028,0.434293852,0.586828169,0.457453341
73.279,1.196533453,1.26691703,0.967499951,1.530540718,1.620600112,1.237511189
51.018,0.101343509,1.176508499,0.905332702,0.090239606,1.04774817,0.806204376
196.889,1.386547388,0.880263647,2.046848342,4.765608134,3.025141958,7.036704172
146.624,0.687510165,0.824413523,0.636375454,1.759472158,2.109878812,1.628597297
85.989,1.544198571,0.768993512,1.222134198,2.318080873,1.154167977,1.834446434
207.58,0.390963617,0.535871222,0.397138725,1.416465364,1.941493644,1.438838558
99.872,0.165910992,0,0.472010515,0.289199467,0,0.822777891
195.176,1.388044687,1.160325483,1.39450432,4.729249239,3.953147217,4.751266722
100.062,1.899333891,2.47069405,3.949889325,3.318233832,4.317524603,6.90908024
95.724,1.658997032,1.001812528,1.521999259,2.772459482,1.673897749,2.54340087
146.288,1.315719289,1.245910084,1.224124901,3.359894646,3.181568156,3.125920218
63.605,0.088411636,0.466877279,1.510046464,0.098147309,0.518299723,1.676715987
84.336,1.591076769,0.701512091,1.541486294,2.342573123,1.032635923,2.269524295
201.38,1.666454175,1.187310533,1.771933911,5.858812061,4.173690069,6.229880427
68.421,0.588408417,0.098390006,0.511580419,0.702685399,0.117494679,0.610931108
141.173,0.063382703,0.692260936,0.081528681,0.156170841,1.70576803,0.200881397
174.979,1.572056453,1.5028052,2.031368993,4.802202135,4.590559222,6.206319633
47.659,0.169218094,0.627399886,0.123918461,0.140757115,0.521896143,0.103076338
58.145,0.565037768,3.015672735,0.716546929,0.573431174,3.063199271,0.727205281
47.538,0.058179892,1.167663563,0.114350625,0.04827156,0.968938321,0.094876225
178.878,0.315060697,0.677211905,0.375789521,0.98363258,2.114360841,1.173235487
204.514,0.109090065,0.941591382,0.337347737,0.389391203,3.361259052,1.204157321
140.541,1.475735027,1.026772946,2.04722994,3.620635819,2.518844273,5.023794976
201.984,0.392593353,0.765850581,1.320802107,1.384025448,2.700003007,4.65702992
69.499,1.35211001,1.776739495,0.791049564,1.640395546,2.155851881,0.959593317
207.214,0.388166288,0.208198078,0.451771492,1.403850693,0.752965519,1.633895531
104.755,0.727908058,2.057756391,1.267125688,1.330920216,3.763854882,2.317088577
372.91,0.62846266,0.347822119,0.010916408,4.090517865,2.263830618,0.071049524
124.61,1.843564084,1.072644069,1.672658289,4.010868424,2.33311766,3.638822669
146.534,0.508041753,1.416851857,1.805680493,1.299351226,3.624338513,4.619558728
63.93,0.447104214,0.950110862,0.0953193,0.498884087,1.060220422,0.106356324
77.472,1.710959263,1.580430308,2.866637289,2.314146893,2.137507516,3.879336674
207.697,1.922203776,1.447815138,2.215750888,6.970597334,5.249442158,8.036095693
52.936,0.036938569,1.77864016,0.079470566,0.034127825,1.643827043,0.073423499
84.979,0.235107989,0.670761927,0.076390204,0.348705508,0.994894956,0.113299217
94.17,0.421584401,0.953639605,0.393927509,0.692918743,1.56752445,0.647460221
